city,state,2018_estimate,2010_census,change,2016_land_area1,2016_land_area2,2016_pop_den1,2016_pop_den2,loc
New York City, New York,"8,398,748","8,175,133",+2.74%,301.5 sq mi,780.9 km2,"28,317/sq mi","10,933/km2",40°39′49″N 73°56′19″W﻿ / ﻿40.6635°N 73.9387°W﻿ / 40.6635; -73.9387﻿ (1 New York City)
Los Angeles, California,"3,990,456","3,792,621",+5.22%,468.7 sq mi,"1,213.9 km2","8,484/sq mi","3,276/km2",34°01′10″N 118°24′39″W﻿ / ﻿34.0194°N 118.4108°W﻿ / 34.0194; -118.4108﻿ (2 Los Angeles)
Chicago, Illinois,"2,705,994","2,695,598",+0.39%,227.3 sq mi,588.7 km2,"11,900/sq mi","4,600/km2",41°50′15″N 87°40′54″W﻿ / ﻿41.8376°N 87.6818°W﻿ / 41.8376; -87.6818﻿ (3 Chicago)
Houston, Texas,"2,325,502","2,100,263",+10.72%,637.5 sq mi,"1,651.1 km2","3,613/sq mi","1,395/km2",29°47′12″N 95°23′27″W﻿ / ﻿29.7866°N 95.3909°W﻿ / 29.7866; -95.3909﻿ (4 Houston)
Phoenix, Arizona,"1,660,272","1,445,632",+14.85%,517.6 sq mi,"1,340.6 km2","3,120/sq mi","1,200/km2",33°34′20″N 112°05′24″W﻿ / ﻿33.5722°N 112.0901°W﻿ / 33.5722; -112.0901﻿ (6 Phoenix)
Philadelphia, Pennsylvania,"1,584,138","1,526,006",+3.81%,134.2 sq mi,347.6 km2,"11,683/sq mi","4,511/km2",40°00′34″N 75°08′00″W﻿ / ﻿40.0094°N 75.1333°W﻿ / 40.0094; -75.1333﻿ (5 Philadelphia)
San Antonio, Texas,"1,532,233","1,327,407",+15.43%,461.0 sq mi,"1,194.0 km2","3,238/sq mi","1,250/km2",29°28′21″N 98°31′30″W﻿ / ﻿29.4724°N 98.5251°W﻿ / 29.4724; -98.5251﻿ (7 San Antonio)
San Diego, California,"1,425,976","1,307,402",+9.07%,325.2 sq mi,842.3 km2,"4,325/sq mi","1,670/km2",32°48′55″N 117°08′06″W﻿ / ﻿32.8153°N 117.1350°W﻿ / 32.8153; -117.1350﻿ (8 San Diego)
Dallas, Texas,"1,345,047","1,197,816",+12.29%,340.9 sq mi,882.9 km2,"3,866/sq mi","1,493/km2",32°47′36″N 96°45′59″W﻿ / ﻿32.7933°N 96.7665°W﻿ / 32.7933; -96.7665﻿ (9 Dallas)
San Jose, California,"1,030,119","945,942",+8.90%,177.5 sq mi,459.7 km2,"5,777/sq mi","2,231/km2",37°17′48″N 121°49′08″W﻿ / ﻿37.2967°N 121.8189°W﻿ / 37.2967; -121.8189﻿ (10 San Jose)
Austin, Texas,"964,254","790,390",+22.00%,312.7 sq mi,809.9 km2,"3,031/sq mi","1,170/km2",30°18′14″N 97°45′16″W﻿ / ﻿30.3039°N 97.7544°W﻿ / 30.3039; -97.7544﻿ (11 Austin)
Jacksonville, Florida,"903,889","821,784",+9.99%,747.4 sq mi,"1,935.8 km2","1,178/sq mi",455/km2,30°20′13″N 81°39′42″W﻿ / ﻿30.3369°N 81.6616°W﻿ / 30.3369; -81.6616﻿ (12 Jacksonville)
Fort Worth, Texas,"895,008","741,206",+20.75%,342.9 sq mi,888.1 km2,"2,491/sq mi",962/km2,32°46′53″N 97°20′48″W﻿ / ﻿32.7815°N 97.3467°W﻿ / 32.7815; -97.3467﻿ (16 Fort Worth)
Columbus, Ohio,"892,533","787,033",+13.40%,218.5 sq mi,565.9 km2,"3,936/sq mi","1,520/km2",39°59′07″N 82°59′05″W﻿ / ﻿39.9852°N 82.9848°W﻿ / 39.9852; -82.9848﻿ (15 Columbus)
San Francisco, California,"883,305","805,235",+9.70%,46.9 sq mi,121.5 km2,"18,569/sq mi","7,170/km2",37°43′38″N 123°01′56″W﻿ / ﻿37.7272°N 123.0322°W﻿ / 37.7272; -123.0322﻿ (13 San Francisco)
Charlotte, North Carolina,"872,498","731,424",+19.29%,305.4 sq mi,791.0 km2,"2,757/sq mi","1,064/km2",35°12′28″N 80°49′52″W﻿ / ﻿35.2078°N 80.8310°W﻿ / 35.2078; -80.8310﻿ (17 Charlotte)
Indianapolis, Indiana,"867,125","820,445",+5.69%,361.5 sq mi,936.3 km2,"2,366/sq mi",914/km2,39°46′36″N 86°08′45″W﻿ / ﻿39.7767°N 86.1459°W﻿ / 39.7767; -86.1459﻿ (14 Indianapolis)
